Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,286,2.85548,99731,0.9997125,80.558
1,Piemonte,Maschi e femmine,1,99714,24,0.23725,99703,0.9997930,79.787
1,Piemonte,Maschi e femmine,2,99691,18,0.17678,99682,0.9998399,78.806
1,Piemonte,Maschi e femmine,3,99673,14,0.14344,99666,0.9998660,77.820
1,Piemonte,Maschi e femmine,4,99659,12,0.12455,99653,0.9998792,76.831
1,Piemonte,Maschi e femmine,5,99646,12,0.11711,99641,0.9998903,75.841
1,Piemonte,Maschi e femmine,6,99635,10,0.10227,99630,0.9999061,74.850
1,Piemonte,Maschi e femmine,7,99625,9,0.08562,99620,0.9999168,73.857
1,Piemonte,Maschi e femmine,8,99616,8,0.08084,99612,0.9999152,72.863
1,Piemonte,Maschi e femmine,9,99608,9,0.08876,99604,0.9999035,71.869
1,Piemonte,Maschi e femmine,10,99599,10,0.10429,99594,0.9998877,70.876
1,Piemonte,Maschi e femmine,11,99589,12,0.12040,99583,0.9998734,69.883
1,Piemonte,Maschi e femmine,12,99577,13,0.13283,99570,0.9998553,68.891
1,Piemonte,Maschi e femmine,13,99564,16,0.15661,99556,0.9998258,67.900
1,Piemonte,Maschi e femmine,14,99548,19,0.19184,99538,0.9997861,66.911
1,Piemonte,Maschi e femmine,15,99529,23,0.23601,99517,0.9997348,65.924
1,Piemonte,Maschi e femmine,16,99505,29,0.29440,99491,0.9996676,64.939
1,Piemonte,Maschi e femmine,17,99476,37,0.37032,99458,0.9996002,63.958
1,Piemonte,Maschi e femmine,18,99439,43,0.42938,99418,0.9995404,62.982
1,Piemonte,Maschi e femmine,19,99397,49,0.48990,99372,0.9994906,62.008
1,Piemonte,Maschi e femmine,20,99348,53,0.52892,99322,0.9994617,61.039
1,Piemonte,Maschi e femmine,21,99295,54,0.54778,99268,0.9994427,60.071
1,Piemonte,Maschi e femmine,22,99241,56,0.56676,99213,0.9994143,59.103
1,Piemonte,Maschi e femmine,23,99185,60,0.60463,99155,0.9993915,58.137
1,Piemonte,Maschi e femmine,24,99125,61,0.61228,99094,0.9993808,57.171
1,Piemonte,Maschi e femmine,25,99064,62,0.62605,99033,0.9993865,56.206
1,Piemonte,Maschi e femmine,26,99002,59,0.60086,98972,0.9994004,55.241
1,Piemonte,Maschi e femmine,27,98943,59,0.59828,98913,0.9994129,54.274
1,Piemonte,Maschi e femmine,28,98883,57,0.57591,98855,0.9994220,53.306
1,Piemonte,Maschi e femmine,29,98826,57,0.58001,98798,0.9994204,52.337
1,Piemonte,Maschi e femmine,30,98769,57,0.57915,98740,0.9994269,51.367
1,Piemonte,Maschi e femmine,31,98712,56,0.56711,98684,0.9994414,50.396
1,Piemonte,Maschi e femmine,32,98656,54,0.55002,98629,0.9994329,49.424
1,Piemonte,Maschi e femmine,33,98602,58,0.58422,98573,0.9994009,48.451
1,Piemonte,Maschi e femmine,34,98544,60,0.61391,98514,0.9993644,47.479
1,Piemonte,Maschi e femmine,35,98484,65,0.65737,98451,0.9993043,46.508
1,Piemonte,Maschi e femmine,36,98419,72,0.73407,98383,0.9992363,45.539
