Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita,Informazioni
1,Piemonte,Maschi e femmine,0,100000,209,2.09318,99803,0.9997594,82.464,s
1,Piemonte,Maschi e femmine,1,99791,23,0.23384,99779,0.9998009,81.636,s
1,Piemonte,Maschi e femmine,2,99767,16,0.16443,99759,0.9998592,80.655,s
1,Piemonte,Maschi e femmine,3,99751,12,0.11719,99745,0.9998983,79.668,s
1,Piemonte,Maschi e femmine,4,99739,9,0.08621,99735,0.9999215,78.677,s
1,Piemonte,Maschi e femmine,5,99731,7,0.07087,99727,0.9999338,77.684,s
1,Piemonte,Maschi e femmine,6,99724,6,0.06153,99721,0.9999406,76.689,s
1,Piemonte,Maschi e femmine,7,99717,6,0.05719,99715,0.9999423,75.694,s
1,Piemonte,Maschi e femmine,8,99712,6,0.05817,99709,0.9999396,74.698,s
1,Piemonte,Maschi e femmine,9,99706,6,0.06259,99703,0.9999355,73.703,s
1,Piemonte,Maschi e femmine,10,99700,7,0.06636,99696,0.9999318,72.707,s
1,Piemonte,Maschi e femmine,11,99693,7,0.06995,99690,0.9999254,71.712,s
1,Piemonte,Maschi e femmine,12,99686,8,0.07925,99682,0.9999114,70.717,s
1,Piemonte,Maschi e femmine,13,99678,10,0.09789,99673,0.9998871,69.723,s
1,Piemonte,Maschi e femmine,14,99668,13,0.12799,99662,0.9998560,68.729,s
1,Piemonte,Maschi e femmine,15,99656,16,0.16004,99648,0.9998252,67.738,s
1,Piemonte,Maschi e femmine,16,99640,19,0.18950,99630,0.9998003,66.749,s
1,Piemonte,Maschi e femmine,17,99621,21,0.20987,99610,0.9997832,65.761,s
1,Piemonte,Maschi e femmine,18,99600,22,0.22374,99589,0.9997623,64.775,s
1,Piemonte,Maschi e femmine,19,99578,25,0.25160,99565,0.9997357,63.790,s
1,Piemonte,Maschi e femmine,20,99553,28,0.27709,99539,0.9997203,62.806,s
1,Piemonte,Maschi e femmine,21,99525,28,0.28221,99511,0.9997134,61.823,s
1,Piemonte,Maschi e femmine,22,99497,29,0.29101,99482,0.9997090,60.840,s
1,Piemonte,Maschi e femmine,23,99468,29,0.29101,99454,0.9997154,59.858,s
1,Piemonte,Maschi e femmine,24,99439,28,0.27813,99425,0.9997231,58.875,s
1,Piemonte,Maschi e femmine,25,99411,27,0.27561,99398,0.9997267,57.891,s
1,Piemonte,Maschi e femmine,26,99384,27,0.27090,99371,0.9997301,56.907,s
1,Piemonte,Maschi e femmine,27,99357,27,0.26898,99344,0.9997243,55.922,s
1,Piemonte,Maschi e femmine,28,99330,28,0.28235,99316,0.9997024,54.937,s
